customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
17303,361,1,250.04,5,5,5,15,Champions
15510,330,1,250,5,5,5,15,Champions
17456,365,1,249.86,5,5,5,15,Champions
16124,317,1,249,5,5,5,15,Champions
18212,326,1,248.42,5,5,5,15,Champions
16510,372,1,248.1,5,5,5,15,Champions
18072,185,1,247.44,5,5,5,15,Champions
17051,194,1,247.14,5,5,5,15,Champions
17278,241,1,246.04,5,5,5,15,Champions
17925,372,1,244.08,5,5,5,15,Champions
17908,373,1,243.28,5,5,5,15,Champions
14647,201,1,243.22,5,5,5,15,Champions
13570,243,1,239.49,5,5,5,15,Champions
16756,214,1,239.4,5,5,5,15,Champions
12561,302,1,238.85,5,5,5,15,Champions
14586,276,1,237.36,5,5,5,15,Champions
15457,262,1,237.07,5,5,5,15,Champions
12732,179,1,236.26,5,5,5,15,Champions
13187,337,1,236.02,5,5,5,15,Champions
17060,266,1,234.24,5,5,5,15,Champions
12736,332,1,234,5,5,5,15,Champions
16583,373,1,233.45,5,5,5,15,Champions
18213,236,1,232.48,5,5,5,15,Champions
16117,189,1,232.21,5,5,5,15,Champions
13786,367,1,230.4,5,5,5,15,Champions
16926,371,1,230.25,5,5,5,15,Champions
13474,236,1,229.59,5,5,5,15,Champions
13008,323,1,229.47,5,5,5,15,Champions
15528,254,1,229.33,5,5,5,15,Champions
13712,246,1,228.84,5,5,5,15,Champions
13070,192,1,228.8,5,5,5,15,Champions
17212,253,1,226.85,5,5,5,15,Champions
16315,330,1,226.37,5,5,5,15,Champions
16619,263,1,226.21,5,5,5,15,Champions
17789,281,1,225.9,5,5,5,15,Champions
12672,329,1,225.9,5,5,5,15,Champions
12402,323,1,225.6,5,5,5,15,Champions
16587,232,1,225.15,5,5,5,15,Champions
17171,289,1,224.91,5,5,5,15,Champions
16471,274,1,223.95,5,5,5,15,Champions
13382,280,1,222.99,5,5,5,15,Champions
16392,269,1,221.19,5,5,5,15,Champions
18114,290,1,220.1,5,5,5,15,Champions
13600,312,1,219.52,5,5,5,15,Champions
17619,312,1,218.52,5,5,5,15,Champions
12574,315,1,218.45,5,5,5,15,Champions
15554,277,1,217.2,5,5,5,15,Champions
15460,354,1,216.76,5,5,5,15,Champions
15052,319,1,215.78,5,5,5,15,Champions
14476,257,1,215.7,5,5,5,15,Champions